OpenJDK 64-Bit Server VM (24.95-b01) for linux-amd64 JRE (1.7.0_95-b00), built on Jan 21 2016 03:31:40 by "buildd" with gcc 4.8.4
Memory: 4k page, physical 4048216k(2715072k free), swap 0k(0k free)
CommandLine flags: -XX:+CMSClassUnloadingEnabled -XX:+CMSScavengeBeforeRemark -XX:+DisableExplicitGC -XX:InitialHeapSize=1073741824 -XX:+ManagementServer -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=174485504 -XX:MaxTenuringThreshold=6 -XX:NewSize=174485504 -XX:OldPLABSize=16 -XX:OldSize=348971008 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2016-04-03T19:02:38.440+0000: 4.951: [GC [1 CMS-initial-mark: 0K(878208K)] 81828K(1031552K), 0.0210400 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2016-04-03T19:02:38.461+0000: 4.973: [CMS-concurrent-mark-start]
2016-04-03T19:02:38.489+0000: 5.001: [CMS-concurrent-mark: 0.028/0.028 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-04-03T19:02:38.489+0000: 5.001: [CMS-concurrent-preclean-start]
2016-04-03T19:02:38.555+0000: 5.067: [CMS-concurrent-preclean: 0.049/0.066 secs] [Times: user=0.07 sys=0.00, real=0.07 secs] 
2016-04-03T19:02:38.556+0000: 5.067: [CMS-concurrent-abortable-preclean-start]
 CMS: abort preclean due to time 2016-04-03T19:02:43.638+0000: 10.150: [CMS-concurrent-abortable-preclean: 0.121/5.082 secs] [Times: user=0.24 sys=0.02, real=5.08 secs] 
2016-04-03T20:24:47.385+0000: 4933.897: [GC2016-04-03T20:24:47.386+0000: 4933.897: [ParNew: 141117K->6635K(153344K), 0.0180870 secs] 144100K->9684K(1031552K), 0.0187330 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-04-03T20:25:56.649+0000: 5003.160: [GC2016-04-03T20:25:56.649+0000: 5003.161: [ParNew: 142955K->6356K(153344K), 0.0250220 secs] 146004K->9589K(1031552K), 0.0257820 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-04-03T20:27:04.663+0000: 5071.174: [GC2016-04-03T20:27:04.663+0000: 5071.175: [ParNew: 142676K->10180K(153344K), 0.0270090 secs] 145909K->13924K(1031552K), 0.0279230 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2016-04-03T20:28:15.085+0000: 5141.597: [GC2016-04-03T20:28:15.086+0000: 5141.597: [ParNew: 146500K->6964K(153344K), 0.0295260 secs] 150244K->11688K(1031552K), 0.0302340 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2016-04-03T20:29:30.776+0000: 5217.287: [GC2016-04-03T20:29:30.776+0000: 5217.288: [ParNew: 143284K->10764K(153344K), 0.0338060 secs] 148008K->16473K(1031552K), 0.0345310 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2016-04-03T20:30:38.451+0000: 5284.963: [GC2016-04-03T20:30:38.452+0000: 5284.963: [ParNew: 147084K->7299K(153344K), 0.0306430 secs] 152793K->13999K(1031552K), 0.0314010 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2016-04-03T20:31:44.502+0000: 5351.013: [GC2016-04-03T20:31:44.502+0000: 5351.014: [ParNew: 143619K->8372K(153344K), 0.0368940 secs] 150319K->16078K(1031552K), 0.0378710 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2016-04-03T20:32:49.936+0000: 5416.448: [GC2016-04-03T20:32:49.937+0000: 5416.448: [ParNew: 144692K->9106K(153344K), 0.0264800 secs] 152398K->17834K(1031552K), 0.0270770 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2016-04-03T20:33:56.385+0000: 5482.897: [GC2016-04-03T20:33:56.385+0000: 5482.897: [ParNew: 145426K->9247K(153344K), 0.0381650 secs] 154154K->19014K(1031552K), 0.0389500 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2016-04-03T20:35:04.728+0000: 5551.240: [GC2016-04-03T20:35:04.728+0000: 5551.240: [ParNew: 145567K->9247K(153344K), 0.0307430 secs] 155334K->20044K(1031552K), 0.0313630 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
